id,surname,given_name,appendix,full_name,status,middle_name
227,,,,"Quisumbing, Gabriel R.",A,""
228,,,,"Radaza, Arturo O.",A,""
229,,,,"Ramos, Deogracias Jr. B.",A,""
230,,,,"Relampagos, Rene L.",A,""
231,,,,"Remulla, Jesus Crispin C.",A,""
232,,,,"Rivera, Michael Angelo C.",A,""
233,,,,"Robes, Arturo B.",A,""
234,,,,"Rodriguez, Isidro Jr. S.",A,""
235,,,,"Rodriguez, Maximo Jr. B.",A,""
236,,,,"Rodriguez, Rufus B.",A,""
237,,,,"Roman, Herminia B.",A,""
238,,,,"Romarate, Guillermo Jr. A.",A,""
239,,,,"Romualdez, Ferdinand Martin G.",A,""
240,,,,"Romualdo, Pedro P.",A,""
241,,,,"Romulo, Roman T.",A,""
242,,,,"Sacdalan, Jesus N.",A,""
243,,,,"Sahidulla, Nur-ana I.",A,""
244,,,,"Sakaluran, Raden C.",A,""
245,,,,"Salimbangon, Benhur L.",A,""
246,,,,"Salvacion, Andres Jr. D.",A,""
247,,,,"Sambar, Mark Aeron H.",A,""
248,,,,"San Luis, Edgar S.",A,""
249,,,,"Sarmiento, Cesar V.",A,""
250,,,,"Sarmiento, Mel Senen S.",A,""
251,,,,"Sema, Bai Sandra A.",A,""
252,,,,"Singson, Eric Jr. G.",A,""
253,,,,"Singson, Ronald V.",R,""
254,,,,"Singson, Ryan Luis V.",A,""
255,,,,"Socrates, Victorino Dennis M.",A,""
256,,,,"Suarez, Danilo E.",A,""
257,,,,"Sy-Alvarado, Ma. Victoria R.",A,""
258,,,,"Syjuco, Augusto Boboy, Ph.D.",A,""
259,,,,"Tañada, Lorenzo III R.",A,""
260,,,,"Tan, Milagrosa 'Mila' T.",A,""
261,,,,"Teodoro, Marcelino R",A,""
262,,,,"Teves, Pryde Henry A.",A,""
263,,,,"Tiangco, Tobias 'Toby' M.",A,""
264,,,,"Tieng, Irwin C.",A,""
265,,,,"Ting, Randolph S.",A,""
266,,,,"Tinga, Sigfrido R.",A,""
267,,,,"Tinio, Antonio L.",A,""
268,,,,"Tomawis, Acmad M.",A,""
269,,,,"Treñas, Jerry P.",A,""
270,,,,"Tugna, Sherwin N.",A,""
271,,,,"Tupas, Niel Jr. C.",A,""
272,,,,"Ty, Arnel U.",A,""
273,,,,"Umali, Czarina D.",A,""
274,,,,"Umali, Reynaldo V.",A,""
275,,,,"Unabia, Peter 'Sr. Pedro' M.",A,""
276,,,,"Ungab, Isidro T.",A,""
277,,,,"Unico, Renato Jr. J.",A,""
278,,,,"Valencia, Rodolfo G.",A,""
279,,,,"Vargas-Alfonso, Baby Aline",A,""
280,,,,"Velarde, Mariano Michael Jr. M.",A,""
281,,,,"Velasco, Lord Allan Jay Q.",A,""
282,,,,"Vergara, Bernardo M.",A,""
283,,,,"Villafuerte, Luis R.",A,""
284,,,,"Villar, Mark A.",A,""
285,,,,"Villarica, Linabelle Ruth R.",A,""
286,,,,"Violago, Joseph Gilbert F.",A,""
287,,,,"Yap, Arthur C.",A,""
288,,,,"Yap, Susan",A,""
289,,,,"Yu, Victor J.",A,""
290,,,,"Zamora-Apsay, Ma. Carmen S.",A,""
291,,,,"Zubiri, Jose III F.",A,""
